;Terminus of a line;Starts with vowel;"Does not contain letter T
";In neighberhood West Portal;1 Word;
Embarcadero;U;U;U;;U;
Montgomery;;;;;U;
Powell;;;U;;U;
Civic Center/UN Plaza;;;;;;
Van Ness;;;U;;;
Church;;;U;;U;
Castro;;;;;U;
Forrest Hill;;;;;;
West Portal;;;;U;;
Ulloa and 14th Avenue;;U;;U;;
15th Avenue and Taraval;;;;;;
Taraval and 17th Avenue;;;;;;
Taraval and 19th Avenue;;;;;;
Taraval and 22nd/23rd Avenue;;;;;;
Taraval and 26th Avenue;;;;;;
Taraval and 30th Avenue;;;;;;
Taraval and 32nd Avenue;;;;;;
Taraval and Sunset;;;;;;
Taraval and 40th Avenue;;;;;;
Taraval and 42nd Avenue;;;;;;
Taraval and 44th Avenue;;;;;;
Taraval and 46th Avenue;;;;;;
46th Avenue and Taraval;;;;;;
46th Avenue and Ulloa;;;;;;
46th Avenue and Vincente;;;;;;
SF Zoo;U;;U;;;
